YEAR,MONTH,DAY,TMAX,TMIN
2016,6,17,33.5,26.2
2016,6,18,33.2,27.2
2016,6,19,34.4,27
2016,6,20,34,26.6
2016,6,21,34.2,27
2016,6,22,34,26.8
2016,6,23,33.1,26
2016,6,24,32.8,25
2016,6,25,32.4,25.2
2016,6,26,32.4,24.8
2016,6,27,31.4,25.6
2016,6,28,32.8,24.9
2016,6,29,34,25
2016,6,30,30.5,25.8
2016,7,1,34,25.8
2016,7,2,34.7,24.4
2016,7,3,33.8,24.7
2016,7,4,31.8,23.8
2016,7,5,32.5,25
2016,7,6,30.7,25.2
2016,7,7,29.6,24.6
2016,7,8,29,24.7
2016,7,9,25.4,23.1
2016,7,10,27.4,23.3
2016,7,11,28.6,24.8
2016,7,12,30.6,23.2
2016,7,13,32.8,25.2
2016,7,14,33.8,25.8
2016,7,15,34.2,25.4
2016,7,16,33.8,25.2
2016,7,17,34.6,25.8
2016,7,18,34.2,26.3
2016,7,19,32.6,26.4
2016,7,20,33,26.2
2016,7,21,33.7,24.6
2016,7,22,34.7,24
2016,7,23,33.4,23.4
2016,7,24,32,24.2
2016,7,25,32.5,25.2
2016,7,26,34.4,27.4
2016,7,27,35.1,26.5
2016,7,28,34.3,26.8
2016,7,29,34,25
2016,7,30,33.4,26.4
2016,7,31,29.2,24.6
2016,8,1,28,25.2
2016,8,2,30.9,24.2
2016,8,3,32.8,24.9
2016,8,4,33.4,25.7
2016,8,5,33.4,25
2016,8,6,32.8,25.2
2016,8,7,31.5,24.8
2016,8,8,30.9,24.8
2016,8,9,27,24
2016,8,10,31.2,24.2
2016,8,11,28.4,24.7
2016,8,12,27.2,24
2016,8,13,25.1,24
2016,8,14,26.3,24.5
2016,8,15,30.7,25.4
2016,8,16,28.2,24.6
2016,8,17,31,25
2016,8,18,31.4,25
2016,8,19,32.2,25
2016,8,20,29.8,24
2016,8,21,32.6,25.2
2016,8,22,32.2,24.7
2016,8,23,31.1,25.2
2016,8,24,31.2,25.4
2016,8,25,30.8,25.2
2016,8,26,30,25.4
2016,8,27,32,24.8
2016,8,28,28.9,24.2
2016,8,29,28.2,24.4
2016,8,30,31.2,24.4
2016,8,31,32.9,24.4
2016,9,1,32.2,23.9
2016,9,2,33,24.6
2016,9,3,32.6,25.6
